ACCENUMB,y_true,y_pred,y_proba
G20942,1,1,0.9962945377168586
G23542A,0,0,0.0003151956066361921
G7225A,0,0,0.0003844404248403622
G13044,0,0,0.0721074433564793
G20274,1,1,0.9856516940358389
G24769,0,0,0.1761022955432612
G16686,0,0,0.0021261595999571
G16007,0,0,0.00042047346379845866
G23876,0,0,0.0005108464972994704
G7764,0,0,0.0274480369788432
G16576,0,0,0.0021328541943306
G438,0,0,0.0128282701826384
G21199,0,0,0.0004880199421678419
G17746,0,0,0.0587673886069519
G11556,0,0,0.0321613809292806
G14687,0,0,0.0914377516827431
G23590,0,0,0.0699942253191073
G11100,0,0,0.004299878766782
G8199K,0,0,0.1762432288938552
G7071,0,0,0.0007198646328830863
G23650,0,0,0.0002749498466603588
G6405,0,0,0.0035946003979252
G51183,0,0,0.0023748286918869
G21763,0,0,0.0066226724718595
G23548,0,0,0.0183147996872383
G1390,0,0,0.0047371893075755
G221,0,0,0.0006099279389549975
G13935,0,0,0.0004849023925661929
G24347,0,0,0.0007648467842343693
G24768,0,0,0.1007460503113108
G23967,0,0,0.0172869901013197
G4346,0,0,0.000257437333291926
G13026,0,0,0.0002961020716070253
G18721,0,0,0.00039280521505187207
G13932,0,0,0.0031251216652437
G8088,0,0,0.000462094384078544
G51029,0,0,0.0034735184491158
G17213D,0,0,0.0047896733088548
G3425,0,0,0.0002995367784372823
G22507,1,1,0.9981327928147388
G11031,0,0,0.0003809341098600652
G3337,0,0,0.00033271407646659414
G1031,1,1,0.9992038840629854
G52098,0,0,0.0006680508458983276
G5177,1,1,0.9879657982546908
G52188,0,0,0.0174328521541139
G1701,0,0,0.0002963981821529756
G16144,0,0,0.0022914615762275
G20976,1,1,0.9985946913463274
G16810,0,0,0.014513613461638
G20198,1,1,0.998859182142682
G6144,0,0,0.0054843141052765
G8170,0,0,0.1607951597809483
G10142,1,1,0.9995591527288548
G22729A,1,1,0.9986870941689314
G18203A,0,0,0.007072371478332
G52329,0,0,0.0024446984510461
G10070,1,1,0.9996572578341392
G23852,1,1,0.9886657448261336
G12856B,0,0,0.0004847403419785518
G24322,0,0,0.0005291422107878119
G50983I,1,1,0.949671361796532
G449,0,0,0.0064460103609075
G6768,0,0,0.0002812319936630062
G18595,0,0,0.005193476755287
G52061,0,0,0.0004766102695546722
G23468,0,0,0.0002883738843454619
G22521,1,1,0.9812954460824098
G52023,1,1,0.9919841507642708
G602,1,1,0.9883446143166515
G603A,1,1,0.9952590195871054
G24373,0,0,0.000387536595625134
G3618,0,0,0.0074967325963585
G52120,0,0,0.0007607418517810082
G14875,0,0,0.00024351343106098988
G50007,0,0,0.0006788719247757423
G51185,0,0,0.0031120900339026
G23622,0,0,0.00024678155081762096
G3197,0,0,0.00021989172054135016
G18994,0,0,0.0022635156954784
G7208,0,0,0.0033397996316895
G20834,1,1,0.994434071283596
G8900,0,0,0.0002367914464381522
G459,0,0,0.0029336070462178
G50617,0,0,0.0106943041649111
G18193,0,0,0.0487625645037539
G24541,0,0,0.0007522674917979843
G20638,1,1,0.9861123135361696
G52254,0,0,0.0006130818337420386
G185,0,0,0.0008352791728462529
G16035,0,0,0.0002872584816705592
G24645,1,1,0.9967618434693748
G11069,0,0,0.0006416250741064752
G8202,0,0,0.1565097768288471
G13668,0,0,0.0003479169717843552
G20973,1,1,0.9987351796228656
G623,0,0,0.140514362352215
G24798,1,1,0.9774320769289914
G18194,0,0,0.1602720430818439
G67,0,0,0.0003718566897678489
G14443,1,1,0.99955449076223
G51618,1,1,0.9961895184546208
G18093,0,0,0.00030331601318459446
G3128,0,0,0.0080142064372698
G14378,0,0,0.00045333290693944914
G50981,1,1,0.9967787557237442
G38,0,0,0.001332285403798
G52028,1,1,0.9992319153208832
G11402,0,0,0.00023668780789624515
G22474,0,0,0.0831261281366739
G689,1,1,0.9779982438028668
G24313,1,1,0.9986901815058374
G20242,1,1,0.9984754233755117
G7884,0,0,0.00018699207316752936
G50474C,0,0,0.0057224478538791
G7854,1,1,0.9717422190366216
G14691,0,0,0.1159007136244302
G3245,0,0,0.0015747945750903
G3341,0,0,0.00030803615263961224
G2470,0,0,0.000253488716635244
G41,1,1,0.99539737612392
G7802,0,0,0.0004476898175186599
G915,0,0,0.0003596382711757166
G20863,0,0,0.2063327791483934
G24371,0,0,0.003515131254142
G13675,0,0,0.0002157049824157549
G5908,0,0,0.0099540066769361
G2879,0,0,0.00043314694094594505
G22624,1,1,0.998288379716758
G19111,0,0,0.0002551877300504098
G314,1,1,0.9942110349008746
G7932,0,0,0.0004210446196975078
G139,0,0,0.0026688088120332
G20936B,1,1,0.9669264158008488
G16988,1,1,0.9920545348210488
G16395,0,0,0.0005303045706982971
G58,1,1,0.999240402089432
G20188,1,1,0.9990409111882952
G14252,0,0,0.0454644535996724
G20085,1,1,0.9991886531595208
G11050A,0,0,0.0003083215548201465
G4367,0,0,0.0032271604287429
G6943,0,0,0.0216700885162568
G15792,1,1,0.999642931434103
G51609,0,0,0.0229502111366653
G4843,1,1,0.9200265575804564
G6123,0,0,0.0004085919042636082
