DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE
10.18730/S38H=,G18779A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/K0J4J,G1878,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,CEDROS - CEDROS - FRANCISCO MORAZAN,14.6,-87.13,732.0,19700901.0
10.18730/PESKA,G18780,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/PESJ9,G18779,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/JM9T7,G18778,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S38G$,G18776A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/S66E6,G18776B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/JM9S6,G18777,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/JM9JU,G18775,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/PESH8,G18776,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,OAXACA - OAXACA - OAXACA,17.05,-96.67,1700.0,19781001.0
10.18730/JM9Q4,G18774,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TUXTLA GUTIERREZ - TUXTLA GUTIERREZ - CHIAPAS,16.75,-93.04,900.0,19781001.0
10.18730/JM9M1,G18772,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TOLUCA - TOLUCA - MEXICO,19.3,-99.67,2675.0,19781001.0
10.18730/JM9N2,G18773,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TUXTLA GUTIERREZ - TUXTLA GUTIERREZ - CHIAPAS,16.75,-93.04,900.0,19781001.0
10.18730/S5EYZ,G18771A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TOLUCA - TOLUCA - MEXICO,19.3,-99.67,2675.0,19781001.0
10.18730/S38F~,G18771B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TOLUCA - TOLUCA - MEXICO,19.3,-99.67,2675.0,19781001.0
10.18730/PESF6,G18769,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,PACHUCA - PACHUCA - HIDALGO,20.14,-98.74,1000.0,19781001.0
10.18730/S1TC1,G18769A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,PACHUCA - PACHUCA - HIDALGO,20.14,-98.74,1000.0,19781001.0
10.18730/K0HT8,G1877,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,CEDROS - CEDROS - FRANCISCO MORAZAN,14.6,-87.13,732.0,19700901.0
10.18730/JM9P3,G18770,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TOLUCA - TOLUCA - MEXICO,19.3,-99.67,2675.0,19781001.0
10.18730/PESG7,G18771,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TOLUCA - TOLUCA - MEXICO,19.3,-99.67,2675.0,19781001.0
10.18730/JM9E*,G18768,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,HUAUCHINANGO - HUAUCHINANGO - PUEBLA,20.19,-98.06,1000.0,19781001.0
10.18730/S5EXY,G18766A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,HUAUCHINANGO - HUAUCHINANGO - PUEBLA,20.19,-98.06,1000.0,19781001.0
10.18730/JM9K0,G18767,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,HUAUCHINANGO - HUAUCHINANGO - PUEBLA,20.19,-98.06,1000.0,19781001.0
10.18730/S4Q16,G18764C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/PG0XA,G18765,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/S4Q27,G18765A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/PESE5,G18766,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,HUAUCHINANGO - HUAUCHINANGO - PUEBLA,20.19,-98.06,1000.0,19781001.0
10.18730/S40CN,G18764B,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/JM9AW,G18763,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/PESD4,G18764,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/PESC3,G18762,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/S66D5,G18764A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/S10Y1,G18762A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TULANCINGO - TULANCINGO - HIDALGO,20.11,-98.37,3200.0,19781001.0
10.18730/S38E*,G18760C,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,APIZACO - APIZACO - TLAXCALA,19.43,-98.17,2660.0,19781001.0
10.18730/JM9G$,G18761,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,APIZACO - XOCHITLAN - PUEBLA,18.75,-97.84,,19781001.0
10.18730/JM9H=,G18759,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,APIZACO - APIZACO - TLAXCALA,19.43,-98.17,2660.0,19781001.0
10.18730/K0HG=,G1876,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,HND,CEDROS - CEDROS - FRANCISCO MORAZAN,14.6,-87.13,732.0,19700901.0
10.18730/S1TB0,G18758A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,APIZACO - APIZACO - TLAXCALA,19.44,-98.15,1160.0,19781001.0
