DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,COLLSRC
10.18730/K3BAQ,G9978,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,VILLA UNION - CONCORDIA - SINALOA,23.21,-106.24,,19770601.0,40.0
10.18730/K3B8N,G9976,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,NUEVO NECAXA - NUEVO NECAXA - PUEBLA,20.23,-98.0,,19770601.0,40.0
10.18730/K3B7M,G9975,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,JUAREZ - TETELA DE OCAMPO - PUEBLA,19.81,-97.79,,19770601.0,40.0
10.18730/K3A8T,G9941,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"JALPA, ROAD TO TLALTENANGO - JALPA - ZACATECAS",21.64,-102.97,,19770601.0,40.0
10.18730/K3A1K,G9932,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CALVILLO - CALVILLO - AGUASCALIENTES,21.86,-102.72,,19770601.0,40.0
10.18730/K39YG,G9928,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,POZA RICA - POZA RICA - VERACRUZ,20.52,-97.38,60.0,19770601.0,40.0
10.18730/K39G2,G9912,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,LA CEIBA - CAZONES - VERACRUZ,20.77,-97.28,,19770601.0,40.0
10.18730/K399*,G9905,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,CIUDAD MENDOZA - CIUDAD MENDOZA - VERACRUZ,18.8,-97.18,1000.0,19770601.0,40.0
10.18730/K39B$,G9907,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,GROWN IN PUEBLA - PUEBLA - PUEBLA,19.05,-98.18,,19770601.0,40.0
10.18730/K396X,G9902,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,GROWN IN NAYARIT - TEPIC - NAYARIT,21.54,-104.9,,19770601.0,40.0
10.18730/K394V,G9900,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"PUERTO DEL AIRE, PUEBLA-VERACRUZ. STATE LINE - ESPERANZA - PUEBLA",18.75,-97.32,,19770601.0,40.0
10.18730/K393T,G9899,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,AZUMBILLA - CHAPULCO - PUEBLA,18.64,-97.39,,19770601.0,40.0
10.18730/K3Q4Z,G9898,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,ORIZABA - ORIZABA - VERACRUZ,18.84,-97.1,,19770601.0,40.0
