ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G11053,0,0,0.0,RandomForest,Anegamiento
G24378,0,0,0.038,RandomForest,Anegamiento
G13620,0,0,0.0,RandomForest,Anegamiento
G51185,0,0,0.0,RandomForest,Anegamiento
G52322,0,0,0.458,RandomForest,Anegamiento
G7806,0,0,0.0,RandomForest,Anegamiento
G21245A,0,0,0.002,RandomForest,Anegamiento
G20947,0,0,0.036,RandomForest,Anegamiento
G20577,0,0,0.198,RandomForest,Anegamiento
G22718,0,0,0.016,RandomForest,Anegamiento
G22724,0,0,0.004,RandomForest,Anegamiento
G4843,1,1,0.676,RandomForest,Anegamiento
G20248,0,0,0.02,RandomForest,Anegamiento
G14378,0,0,0.0,RandomForest,Anegamiento
G16055,0,0,0.0,RandomForest,Anegamiento
G11123,0,0,0.018,RandomForest,Anegamiento
G14686,0,0,0.004,RandomForest,Anegamiento
G19890,0,0,0.006,RandomForest,Anegamiento
G11881,0,0,0.006,RandomForest,Anegamiento
G9735,0,0,0.0,RandomForest,Anegamiento
G17210,0,0,0.014,RandomForest,Anegamiento
G6265,0,0,0.054,RandomForest,Anegamiento
G607,0,0,0.0,RandomForest,Anegamiento
G4336,0,0,0.0,RandomForest,Anegamiento
G3337,0,0,0.0,RandomForest,Anegamiento
G20698,0,0,0.0,RandomForest,Anegamiento
G19018,0,0,0.0,RandomForest,Anegamiento
G2480,0,0,0.0,RandomForest,Anegamiento
G830,0,0,0.006,RandomForest,Anegamiento
G15942,0,0,0.004,RandomForest,Anegamiento
G3335,0,0,0.0,RandomForest,Anegamiento
G9071,0,0,0.0,RandomForest,Anegamiento
G17203A,0,0,0.002,RandomForest,Anegamiento
G6865,0,0,0.018,RandomForest,Anegamiento
G18708A,0,0,0.0,RandomForest,Anegamiento
G18558,0,0,0.006,RandomForest,Anegamiento
G413,0,0,0.004,RandomForest,Anegamiento
G6781,0,0,0.0,RandomForest,Anegamiento
G50392,1,1,1.0,RandomForest,Anegamiento
G22654,1,1,0.826,RandomForest,Anegamiento
G50341,1,1,0.968,RandomForest,Anegamiento
G52406,0,0,0.414,RandomForest,Anegamiento
G2408,0,0,0.0,RandomForest,Anegamiento
G51199,0,0,0.0,RandomForest,Anegamiento
G17217,0,0,0.01,RandomForest,Anegamiento
G52504,1,1,0.876,RandomForest,Anegamiento
G19762,0,0,0.0,RandomForest,Anegamiento
G13866A,0,0,0.0,RandomForest,Anegamiento
G8238,0,0,0.004,RandomForest,Anegamiento
G16403A,0,0,0.0,RandomForest,Anegamiento
G22644,1,1,0.9,RandomForest,Anegamiento
G24605,0,0,0.0,RandomForest,Anegamiento
G2993,0,0,0.004,RandomForest,Anegamiento
G24356,0,0,0.006,RandomForest,Anegamiento
G22278,0,0,0.046,RandomForest,Anegamiento
G16042,0,0,0.0,RandomForest,Anegamiento
G20770,0,0,0.212,RandomForest,Anegamiento
G21241,1,1,0.986,RandomForest,Anegamiento
G19893,0,0,0.004,RandomForest,Anegamiento
G22514,0,0,0.102,RandomForest,Anegamiento
G12674,0,0,0.002,RandomForest,Anegamiento
G15839,1,1,0.996,RandomForest,Anegamiento
G7862,0,0,0.234,RandomForest,Anegamiento
G1454,0,0,0.002,RandomForest,Anegamiento
G7192,1,0,0.264,RandomForest,Anegamiento
G50342,0,0,0.344,RandomForest,Anegamiento
G2867,0,0,0.0,RandomForest,Anegamiento
G50506,1,1,0.758,RandomForest,Anegamiento
G15785,0,0,0.0,RandomForest,Anegamiento
G10980,0,0,0.0,RandomForest,Anegamiento
G24354,0,0,0.008,RandomForest,Anegamiento
G14708,0,0,0.018,RandomForest,Anegamiento
G5553,0,0,0.0,RandomForest,Anegamiento
G22800,0,0,0.012,RandomForest,Anegamiento
G20737,0,0,0.0,RandomForest,Anegamiento
G12986,0,0,0.0,RandomForest,Anegamiento
G345,0,0,0.0,RandomForest,Anegamiento
G13660,0,0,0.0,RandomForest,Anegamiento
G22660,0,0,0.004,RandomForest,Anegamiento
G16455,0,0,0.004,RandomForest,Anegamiento
G50707,1,1,0.986,RandomForest,Anegamiento
G12855A,0,0,0.004,RandomForest,Anegamiento
G14500,1,1,0.526,RandomForest,Anegamiento
G52337,0,0,0.05,RandomForest,Anegamiento
G24,0,0,0.0,RandomForest,Anegamiento
G20895,0,0,0.018,RandomForest,Anegamiento
G24487A,0,0,0.058,RandomForest,Anegamiento
G481,1,0,0.204,RandomForest,Anegamiento
G15791,1,0,0.496,RandomForest,Anegamiento
G18553,0,0,0.0,RandomForest,Anegamiento
G4287,0,0,0.0,RandomForest,Anegamiento
G39,0,0,0.078,RandomForest,Anegamiento
G13727,0,0,0.0,RandomForest,Anegamiento
G470,0,0,0.044,RandomForest,Anegamiento
G14853,1,1,0.932,RandomForest,Anegamiento
G51838,0,0,0.112,RandomForest,Anegamiento
G24544,0,0,0.006,RandomForest,Anegamiento
G21977,0,0,0.034,RandomForest,Anegamiento
G24353,0,0,0.002,RandomForest,Anegamiento
G51613,0,0,0.0,RandomForest,Anegamiento
G1733,0,0,0.018,RandomForest,Anegamiento
G8176,1,1,0.904,RandomForest,Anegamiento
G10107,0,0,0.002,RandomForest,Anegamiento
G18047,0,0,0.008,RandomForest,Anegamiento
G1803,0,0,0.0,RandomForest,Anegamiento
G11582,0,0,0.008,RandomForest,Anegamiento
G20261,0,0,0.0,RandomForest,Anegamiento
G24310,0,0,0.0,RandomForest,Anegamiento
G7911,0,0,0.008,RandomForest,Anegamiento
G18671,0,0,0.0,RandomForest,Anegamiento
G52094,1,1,0.686,RandomForest,Anegamiento
G8927,0,0,0.0,RandomForest,Anegamiento
G22399,1,1,0.874,RandomForest,Anegamiento
G20240,0,0,0.002,RandomForest,Anegamiento
G24287A,0,0,0.072,RandomForest,Anegamiento
G7743,0,0,0.0,RandomForest,Anegamiento
G4756,0,0,0.082,RandomForest,Anegamiento
G10096,0,0,0.01,RandomForest,Anegamiento
G16147,0,0,0.006,RandomForest,Anegamiento
G576,0,0,0.006,RandomForest,Anegamiento
G50438,0,0,0.072,RandomForest,Anegamiento
G13928,1,1,0.642,RandomForest,Anegamiento
G51381,0,0,0.002,RandomForest,Anegamiento
G14218,0,0,0.236,RandomForest,Anegamiento
G16907,0,0,0.0,RandomForest,Anegamiento
G22824,0,0,0.0,RandomForest,Anegamiento
G596,0,0,0.0,RandomForest,Anegamiento
G20356,0,0,0.002,RandomForest,Anegamiento
G20059,0,0,0.0,RandomForest,Anegamiento
G20975,0,0,0.14,RandomForest,Anegamiento
G24370,0,0,0.0,RandomForest,Anegamiento
G22836,0,0,0.176,RandomForest,Anegamiento
G52369,0,0,0.036,RandomForest,Anegamiento
G51884,1,0,0.14,RandomForest,Anegamiento
G50866,1,1,0.996,RandomForest,Anegamiento
G20119,0,0,0.0,RandomForest,Anegamiento
G5594,0,0,0.0,RandomForest,Anegamiento
G231,0,0,0.0,RandomForest,Anegamiento
G16006,0,0,0.0,RandomForest,Anegamiento
G6782,0,0,0.0,RandomForest,Anegamiento
G4359,0,0,0.002,RandomForest,Anegamiento
G960,1,1,0.774,RandomForest,Anegamiento
G18935,0,0,0.032,RandomForest,Anegamiento
G23593,0,0,0.086,RandomForest,Anegamiento
G51603,0,0,0.002,RandomForest,Anegamiento
G20072,0,0,0.0,RandomForest,Anegamiento
G20980,0,0,0.186,RandomForest,Anegamiento
G52499,1,1,0.998,RandomForest,Anegamiento
G11042,0,0,0.01,RandomForest,Anegamiento
G51659,1,1,0.978,RandomForest,Anegamiento
G826,0,0,0.01,RandomForest,Anegamiento
G20880,0,0,0.002,RandomForest,Anegamiento
G24395,1,1,0.988,RandomForest,Anegamiento
G51624,1,1,0.626,RandomForest,Anegamiento
G24384,0,0,0.0,RandomForest,Anegamiento
G23965,1,1,0.93,RandomForest,Anegamiento
G16010,0,0,0.0,RandomForest,Anegamiento
G869,0,0,0.002,RandomForest,Anegamiento
G4600,1,1,0.916,RandomForest,Anegamiento
G942,1,1,0.96,RandomForest,Anegamiento
G9812,0,0,0.0,RandomForest,Anegamiento
G22560,0,0,0.0,RandomForest,Anegamiento
G8159,1,1,1.0,RandomForest,Anegamiento
G50333,1,1,0.95,RandomForest,Anegamiento
