ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G23876,0,0,0.004,RandomForest,Sequia
G7764,0,0,0.128,RandomForest,Sequia
G16576,0,0,0.014,RandomForest,Sequia
G438,0,0,0.038,RandomForest,Sequia
G21199,0,0,0.016,RandomForest,Sequia
G17746,0,0,0.128,RandomForest,Sequia
G11556,0,0,0.114,RandomForest,Sequia
G14687,0,0,0.456,RandomForest,Sequia
G23590,0,0,0.282,RandomForest,Sequia
G11100,0,0,0.064,RandomForest,Sequia
G8199K,0,1,0.664,RandomForest,Sequia
G7071,0,0,0.006,RandomForest,Sequia
G23650,0,0,0.0,RandomForest,Sequia
G6405,0,0,0.118,RandomForest,Sequia
G51183,0,0,0.008,RandomForest,Sequia
G21763,0,0,0.068,RandomForest,Sequia
G23548,0,0,0.062,RandomForest,Sequia
G1390,0,0,0.056,RandomForest,Sequia
G221,0,0,0.018,RandomForest,Sequia
G13935,0,0,0.006,RandomForest,Sequia
G24347,0,0,0.012,RandomForest,Sequia
G24768,0,0,0.478,RandomForest,Sequia
G23967,0,0,0.068,RandomForest,Sequia
G4346,0,0,0.0,RandomForest,Sequia
G13026,0,0,0.002,RandomForest,Sequia
G18721,0,0,0.006,RandomForest,Sequia
G13932,0,0,0.058,RandomForest,Sequia
G8088,0,0,0.006,RandomForest,Sequia
G51029,0,0,0.094,RandomForest,Sequia
G17213D,0,0,0.038,RandomForest,Sequia
G3425,0,0,0.0,RandomForest,Sequia
G22507,1,1,0.742,RandomForest,Sequia
G11031,0,0,0.0,RandomForest,Sequia
G3337,0,0,0.004,RandomForest,Sequia
G1031,1,1,0.98,RandomForest,Sequia
G52098,0,0,0.002,RandomForest,Sequia
G5177,1,1,0.682,RandomForest,Sequia
G52188,0,0,0.094,RandomForest,Sequia
G1701,0,0,0.002,RandomForest,Sequia
G16144,0,0,0.094,RandomForest,Sequia
G20976,1,1,0.982,RandomForest,Sequia
G16810,0,0,0.096,RandomForest,Sequia
G20198,1,1,0.916,RandomForest,Sequia
G6144,0,0,0.038,RandomForest,Sequia
G8170,0,1,0.718,RandomForest,Sequia
G10142,1,1,0.998,RandomForest,Sequia
G22729A,1,1,0.878,RandomForest,Sequia
G18203A,0,0,0.134,RandomForest,Sequia
G52329,0,0,0.07,RandomForest,Sequia
G10070,1,1,0.998,RandomForest,Sequia
G23852,1,1,0.84,RandomForest,Sequia
G12856B,0,0,0.018,RandomForest,Sequia
G24322,0,0,0.012,RandomForest,Sequia
G50983I,1,1,0.704,RandomForest,Sequia
G449,0,0,0.034,RandomForest,Sequia
G6768,0,0,0.004,RandomForest,Sequia
G18595,0,0,0.028,RandomForest,Sequia
G52061,0,0,0.0,RandomForest,Sequia
G23468,0,0,0.0,RandomForest,Sequia
G22521,1,1,0.6,RandomForest,Sequia
G52023,1,1,0.722,RandomForest,Sequia
G602,1,1,0.95,RandomForest,Sequia
G603A,1,1,0.878,RandomForest,Sequia
G24373,0,0,0.002,RandomForest,Sequia
G3618,0,0,0.086,RandomForest,Sequia
G52120,0,0,0.01,RandomForest,Sequia
G14875,0,0,0.0,RandomForest,Sequia
G50007,0,0,0.038,RandomForest,Sequia
G51185,0,0,0.018,RandomForest,Sequia
G23622,0,0,0.006,RandomForest,Sequia
G3197,0,0,0.002,RandomForest,Sequia
G18994,0,0,0.008,RandomForest,Sequia
G7208,0,0,0.008,RandomForest,Sequia
G20834,1,1,0.976,RandomForest,Sequia
G8900,0,0,0.0,RandomForest,Sequia
G459,0,0,0.014,RandomForest,Sequia
G50617,0,0,0.084,RandomForest,Sequia
G18193,0,0,0.236,RandomForest,Sequia
G24541,0,0,0.014,RandomForest,Sequia
G20638,1,1,0.616,RandomForest,Sequia
G52254,0,0,0.018,RandomForest,Sequia
G185,0,0,0.016,RandomForest,Sequia
G16035,0,0,0.0,RandomForest,Sequia
G24645,1,1,0.944,RandomForest,Sequia
G11069,0,0,0.006,RandomForest,Sequia
G8202,0,1,0.78,RandomForest,Sequia
G13668,0,0,0.004,RandomForest,Sequia
G20973,1,1,0.97,RandomForest,Sequia
G623,0,0,0.43,RandomForest,Sequia
G24798,1,1,0.784,RandomForest,Sequia
G18194,0,1,0.792,RandomForest,Sequia
G67,0,0,0.008,RandomForest,Sequia
G14443,1,1,0.994,RandomForest,Sequia
G51618,1,1,0.89,RandomForest,Sequia
G18093,0,0,0.0,RandomForest,Sequia
