DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ORIGCTY,COLLSITE,ELEVATION,COLLSRC,MODCF_CloudForestPrediction,MODCF_seasonality_concentration,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,BDRICM_M,SLGWRB,ACDWRB_M_ss,bio18,bio19
10.18730/JP7DH,G11010,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,4 KM N DE EL SALITRE - MEZQUITAL - DURANGO,0.2011384900023912,-1.80637314900962,-0.4976054634940957,0.701414852478292,0.6995265538713281,-1.4647356163559797,-1.5371691436407362,-0.1099513511812154,-1.1698836982734446,-0.5891760872248545,-0.6097022699716907
10.18730/JP76A,G11003,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,TRONCON - MEZQUITAL - DURANGO,0.2294125125050978,-1.80637314900962,-0.5037645810657926,0.5921882514918541,0.683978525171186,-1.4354580792105334,-3.0347714816649582,-0.1099513511812154,-1.1698836982734446,-0.5946573264200028,-0.6046882870735595
10.18730/JP79D,G10996,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,REFUGIO DE LOS POZOS - JIMENEZ DE TEUL - ZACATECAS,1.61483961513772,-1.80637314900962,-0.3212361270248372,0.6559037687339428,0.346433010876396,-1.2597926818299705,-3.307062815851181,-0.1099513511812154,0.2062222827571616,-0.2931891706868491,-0.6247442186660844
10.18730/PMPT$,G10999,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-1.2939186614670004,MEX,"CERRO ANCHO, CERCA MICROONDAS CAMPANA - FRANCISCO I. MADERO - DURANGO",1.021085142580882,2.5782939957664426,-0.458552647174283,0.5466771677475049,0.8123760380221533,-1.5232908651547583,0.5390522795292084,-0.1099513511812154,-1.1698836982734446,-0.5453261736636685,-0.7400658253231024
10.18730/JP759,G10991,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,"0.5 KM W DE PIEDRAS AZULES, A SOLEDAD - CHALCHIHUITE - ZACATECAS",1.261414333853888,-1.80637314900962,-0.3132708715938671,0.6559037687339428,0.4813509610440204,-1.3183477561208623,-1.6392783939605695,-0.1099513511812154,0.2062222827571616,-0.3699265194189245,-0.6748840476473966
10.18730/JP6T=,G10987,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,4 KM SWS DE JIMENEZ DE TEUL - CHALCHIHUITE - ZACATECAS,1.3462364013620076,-1.80637314900962,-0.4669953897081335,0.8743569707068191,0.6634146577183004,-1.4354580792105334,-3.1709171487580696,-0.1099513511812154,-1.1698836982734446,-0.5727323696394098,-0.6297582015642156
10.18730/JP6BM,G10980,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,2 KM NW DE CORRALES - SOMBRERETE - ZACATECAS,1.374510423864714,-1.80637314900962,-0.3192042208129533,0.646801551985073,0.547555976439647,-1.3769030049196411,-2.0817518120131804,-0.1099513511812154,-1.1698836982734446,-0.5014762601024825,-0.6548281160548717
10.18730/JP6Q*,G10979,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,EL CARIZALILLO - FRESNILLO - ZACATECAS,1.3462364013620076,-1.80637314900962,-0.4152834338283077,0.310019532276889,0.6709380331926432,-1.4354580792105334,-2.4221159797459584,-0.1099513511812154,-1.1698836982734446,-0.5672511304442615,-0.6598420989530029
10.18730/JP6NY,G10977,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,3.5KM ESE DE REFUGIO DE ABREGO - FRESNILLO - ZACATECAS,1.2896883563565944,-1.80637314900962,-0.4910426264134321,0.25540623178367,0.7732549447412974,-1.4940131535014256,-0.8224043914019028,-0.1099513511812154,-1.1698836982734446,-0.622063522395744,-0.6748840476473966
10.18730/JP6HT,G10972,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,"VICENTE GUERRERO, POTRERO LA UNIÓN - FRESNILLO - ZACATECAS",1.3320993901106544,-1.80637314900962,-0.3212988320567456,0.3919394830167175,0.6092468134887591,-1.4061805420650872,-3.545317733264125,-0.1099513511812154,0.2062222827571616,-0.534363695273372,-0.6698700647492654
10.18730/JP5T3,G10961,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,0.5 KM W DE FELIPE ANGELES - FRESNILLO - ZACATECAS,1.204866288848475,-1.80637314900962,-0.4500596531065677,0.3373261825234985,0.7657315692669546,-1.4940131535014256,-0.1416760559363472,-0.1099513511812154,-1.1698836982734446,-0.6385072399811887,-0.684912013443659
10.18730/JP68H,G10963,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,1.5 KM NE DE SAN JOSE DEL RIO - FRESNILLO - ZACATECAS,1.204866288848475,-1.80637314900962,-0.4843494935960404,0.419246133263327,0.7898062942538971,-1.4940131535014256,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-0.643988479176337,-0.6899259963417902
10.18730/JP63C,G10958,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,2.2 KM W DE LA QUEMADA EN CAMINO A URITE - FRESNILLO - ZACATECAS,1.2472773226025349,-1.80637314900962,-0.4301320397361927,0.3464283992723683,0.7587098541988406,-1.4940131535014256,-0.4820402236691249,-0.1099513511812154,-1.1698836982734446,-0.6494697183714853,-0.6798980305455278
10.18730/JP5N=,G10953,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,EL PORVENIR DEL CENTRO - FRESNILLO - ZACATECAS,1.416921457618774,-1.80637314900962,-0.4481179568938275,0.2645084485325398,0.7366413881820411,-1.4647356163559797,-1.7754240610536804,-0.1099513511812154,-1.1698836982734446,-0.643988479176337,-0.6899259963417902
10.18730/JP5V4,G10956,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,EL CENTRO - FRESNILLO - ZACATECAS,1.2331403113511812,-1.80637314900962,-0.4109958628463342,0.3464283992723683,0.7326292528965275,-1.4647356163559797,-0.8564408081751805,-0.1099513511812154,-1.1698836982734446,-0.6494697183714853,-0.684912013443659
10.18730/JP5PU,G10948,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,1 KM SW DE SALTO DE SANTA CRUZ - FRESNILLO - ZACATECAS,1.162455255094415,-1.80637314900962,-0.5042750902215479,0.3009173155280191,0.8931261439602367,-1.5525684023002044,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-0.6933196319326712,-0.6798980305455278
10.18730/S1W1H,G10944A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,1.5 KM SE DE MEXICO NUEVO - FRESNILLO - ZACATECAS,1.204866288848475,-1.80637314900962,-0.4832374232879032,0.4556550002588064,0.8911198849900938,-1.5525684023002044,0.5050158627559306,-0.1099513511812154,-1.1698836982734446,-0.6933196319326712,-0.684912013443659
10.18730/JZYY~,G1042,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,SIERRA SUROTATO - LA CAMPANA - SINALOA,0.8500273064395072,0.3859604233784113,-0.5307498571161949,0.3919394830167175,0.8866060892983514,-1.3183477561208623,-1.707351227507125,-0.1099513511812154,-1.1698836982734446,0.6057340573174638,-0.569590406786641
10.18730/JHPPB,G10023,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,25 MI S DURANGO-CARRETERA A MEZQUITAL - MEZQUITAL - DURANGO,1.1299401292163025,0.3859604233784113,-0.501532031869058,0.419246133263327,0.6162689112116452,-1.4061805420650872,-3.1709171487580696,-0.1099513511812154,-1.1698836982734446,-0.5727323696394098,-0.6548281160548717
10.18730/JRH59,G10022,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,20 MI NE DURANGO POR LA RUTA 45 - DURANGO - DURANGO,0.8500273064395072,0.3859604233784113,-0.4952682165984992,0.4920638672542858,0.5726336395842748,-1.3769030049196411,-1.2989142262277915,-0.1099513511812154,-1.1698836982734446,-0.468588824931593,-0.6698700647492654
10.18730/PGDVH,G10019,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,SAN JOSE PURUA - JUNGAPEO - MICHOACAN,0.0314943549861518,0.3859604233784113,-0.5423080449429699,1.3294678081503108,0.9001478590283507,-0.9962946730130688,-1.2989142262277915,-0.1099513511812154,0.2062222827571616,-0.5069574992976308,-0.6798980305455278
10.18730/S10EP,G10018A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,"EL TEMAZCAL, CARRETERA ZITACUARO-HUETAMO (KM 50) - CHARO - MICHOACAN",-0.4802654523128372,0.3859604233784113,0.7174222077930866,0.6103926849895936,0.9322472372410924,0.5261387745873934,0.130615278249875,-0.1099513511812154,0.2062222827571616,-0.2383767787353665,-0.6598420989530029
